,Survived,Sex,Pclass_1,Pclass_2,Pclass_3,Embarked_0.0,Embarked_1.0,Embarked_2.0,Alone,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Soldier,Title_Upper,Ticket_survived,Woman_with_child,Family_male_survived,Family_woman_child_died,Ticket_type_0,Ticket_type_1,Ticket_type_2,Ticket_type_3,Ticket_type_4,Ticket_type_5,Ticket_type_6,Ticket_type_7,Age,SibSp,Parch,Fare,Family_size,Cabin_Letter
0,0.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.5416129102021049,0.481287771858981,-0.444999501816175,-0.5031762030204289,0.07335229062787217,5
1,1.0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.6614135270424127,0.481287771858981,-0.444999501816175,0.7348086421751847,0.07335229062787217,2
2,1.0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.24085630089097548,-0.47908676070718687,-0.444999501816175,-0.4901261217266795,-0.5583460543187373,5
3,1.0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.43584607005906567,0.481287771858981,-0.444999501816175,0.38326265226609996,0.07335229062787217,2
4,0.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.43584607005906567,-0.47908676070718687,-0.444999501816175,-0.48770944000561484,-0.5583460543187373,4
5,0.0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.3160454532187578,-0.47908676070718687,-0.444999501816175,-0.47981559083192915,-0.5583460543187373,5
6,0.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.8644399642869303,-0.47908676070718687,-0.444999501816175,0.3593375032275594,-0.5583460543187373,4
7,0.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-2.0453959567577518,2.4020368369913165,0.7107630931786129,-0.23589120467067404,1.9684473254677004,5
8,1.0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,-0.16566714856319312,-0.47908676070718687,1.8665256881734007,-0.4280986020011448,0.7050506355744817,6
9,1.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.1431261288243637,0.481287771858981,-0.444999501816175,-0.061971321259844045,0.07335229062787217,3
