,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Cabin_Letter
0,0.0,3,0,22.0,1,0,7.25,0.0,7
1,1.0,1,1,38.0,1,0,71.2833,1.0,2
2,1.0,3,1,26.0,0,0,7.925,0.0,7
3,1.0,1,1,35.0,1,0,53.1,0.0,2
4,0.0,3,0,35.0,0,0,8.05,0.0,7
5,0.0,3,0,25.0,0,0,8.4583,2.0,7
6,0.0,1,0,54.0,0,0,51.8625,0.0,4
7,0.0,3,0,2.0,3,1,21.075,0.0,7
8,1.0,3,1,27.0,0,2,11.1333,0.0,7
9,1.0,2,1,14.0,1,0,30.0708,1.0,7
10,1.0,3,1,4.0,1,1,16.7,0.0,6
11,1.0,1,1,58.0,0,0,26.55,0.0,2
12,0.0,3,0,20.0,0,0,8.05,0.0,7
13,0.0,3,0,39.0,1,5,31.275,0.0,7
14,0.0,3,1,14.0,0,0,7.8542,0.0,7
15,1.0,2,1,55.0,0,0,16.0,0.0,7
16,0.0,3,0,2.0,4,1,29.125,2.0,7
17,1.0,2,0,30.0,0,0,13.0,0.0,7
18,0.0,3,1,31.0,1,0,18.0,0.0,7
19,1.0,3,1,25.0,0,0,7.225,1.0,7
20,0.0,2,0,35.0,0,0,26.0,0.0,7
21,1.0,2,0,34.0,0,0,13.0,0.0,3
22,1.0,3,1,15.0,0,0,8.0292,2.0,7
23,1.0,1,0,28.0,0,0,35.5,0.0,0
24,0.0,3,1,8.0,3,1,21.075,0.0,7
25,1.0,3,1,38.0,1,5,31.3875,0.0,7
26,0.0,3,0,25.0,0,0,7.225,1.0,7
27,0.0,1,0,19.0,3,2,263.0,0.0,2
28,1.0,3,1,25.0,0,0,7.8792,2.0,7
29,0.0,3,0,25.0,0,0,7.8958,0.0,7
30,0.0,1,0,40.0,0,0,27.7208,1.0,7
31,1.0,1,1,27.0,1,0,146.5208,1.0,1
32,1.0,3,1,25.0,0,0,7.75,2.0,7
33,0.0,2,0,66.0,0,0,10.5,0.0,7
34,0.0,1,0,28.0,1,0,82.1708,1.0,7
35,0.0,1,0,42.0,1,0,52.0,0.0,7
36,1.0,3,0,25.0,0,0,7.2292,1.0,7
37,0.0,3,0,21.0,0,0,8.05,0.0,7
38,0.0,3,1,18.0,2,0,18.0,0.0,7
39,1.0,3,1,14.0,1,0,11.2417,1.0,7
40,0.0,3,1,40.0,1,0,9.475,0.0,7
41,0.0,2,1,27.0,1,0,21.0,0.0,7
42,0.0,3,0,25.0,0,0,7.8958,1.0,7
43,1.0,2,1,3.0,1,2,41.5792,1.0,7
44,1.0,3,1,19.0,0,0,7.8792,2.0,7
45,0.0,3,0,25.0,0,0,8.05,0.0,7
46,0.0,3,0,25.0,1,0,15.5,2.0,7
47,1.0,3,1,25.0,0,0,7.75,2.0,7
48,0.0,3,0,23.0,2,0,21.6792,1.0,7
49,0.0,3,1,18.0,1,0,17.8,0.0,7
50,0.0,3,0,7.0,4,1,39.6875,0.0,7
51,0.0,3,0,21.0,0,0,7.8,0.0,7
52,1.0,1,1,49.0,1,0,76.7292,1.0,3
53,1.0,2,1,29.0,1,0,26.0,0.0,7
54,0.0,1,0,65.0,0,1,61.9792,1.0,1
55,1.0,1,0,41.5,0,0,35.5,0.0,2
56,1.0,2,1,21.0,0,0,10.5,0.0,7
57,0.0,3,0,28.5,0,0,7.2292,1.0,7
58,1.0,2,1,5.0,1,2,27.75,0.0,7
59,0.0,3,0,11.0,5,2,46.9,0.0,7
60,0.0,3,0,22.0,0,0,7.2292,1.0,7
61,1.0,1,1,38.0,0,0,80.0,0.0,1
62,0.0,1,0,45.0,1,0,83.475,0.0,2
63,0.0,3,0,4.0,3,2,27.9,0.0,7
64,0.0,1,0,41.5,0,0,27.7208,1.0,7
65,1.0,3,0,16.0,1,1,15.2458,1.0,7
66,1.0,2,1,29.0,0,0,10.5,0.0,5
67,0.0,3,0,19.0,0,0,8.1583,0.0,7
68,1.0,3,1,17.0,4,2,7.925,0.0,7
69,0.0,3,0,26.0,2,0,8.6625,0.0,7
70,0.0,2,0,32.0,0,0,10.5,0.0,7
71,0.0,3,1,16.0,5,2,46.9,0.0,7
72,0.0,2,0,21.0,0,0,73.5,0.0,7
73,0.0,3,0,26.0,1,0,14.4542,1.0,7
74,1.0,3,0,32.0,0,0,56.4958,0.0,7
75,0.0,3,0,25.0,0,0,7.65,0.0,5
76,0.0,3,0,25.0,0,0,7.8958,0.0,7
77,0.0,3,0,25.0,0,0,8.05,0.0,7
78,1.0,2,0,0.83,0,2,29.0,0.0,7
79,1.0,3,1,30.0,0,0,12.475,0.0,7
80,0.0,3,0,22.0,0,0,9.0,0.0,7
81,1.0,3,0,29.0,0,0,9.5,0.0,7
82,1.0,3,1,25.0,0,0,7.7875,2.0,7
83,0.0,1,0,28.0,0,0,47.1,0.0,7
84,1.0,2,1,17.0,0,0,10.5,0.0,7
85,1.0,3,1,33.0,3,0,15.85,0.0,7
86,0.0,3,0,16.0,1,3,34.375,0.0,7
87,0.0,3,0,25.0,0,0,8.05,0.0,7
88,1.0,1,1,23.0,3,2,263.0,0.0,2
89,0.0,3,0,24.0,0,0,8.05,0.0,7
90,0.0,3,0,29.0,0,0,8.05,0.0,7
91,0.0,3,0,20.0,0,0,7.8542,0.0,7
92,0.0,1,0,46.0,1,0,61.175,0.0,4
93,0.0,3,0,26.0,1,2,20.575,0.0,7
94,0.0,3,0,59.0,0,0,7.25,0.0,7
95,0.0,3,0,25.0,0,0,8.05,0.0,7
96,0.0,1,0,71.0,0,0,34.6542,1.0,0
97,1.0,1,0,23.0,0,1,63.3583,1.0,3
98,1.0,2,1,34.0,0,1,23.0,0.0,7
99,0.0,2,0,34.0,1,0,26.0,0.0,7
100,0.0,3,1,28.0,0,0,7.8958,0.0,7
101,0.0,3,0,25.0,0,0,7.8958,0.0,7
102,0.0,1,0,21.0,0,1,77.2875,0.0,3
103,0.0,3,0,33.0,0,0,8.6542,0.0,7
104,0.0,3,0,37.0,2,0,7.925,0.0,7
105,0.0,3,0,28.0,0,0,7.8958,0.0,7
106,1.0,3,1,21.0,0,0,7.65,0.0,7
107,1.0,3,0,25.0,0,0,7.775,0.0,7
108,0.0,3,0,38.0,0,0,7.8958,0.0,7
109,1.0,3,1,25.0,1,0,24.15,2.0,7
110,0.0,1,0,47.0,0,0,52.0,0.0,2
111,0.0,3,1,14.5,1,0,14.4542,1.0,7
112,0.0,3,0,22.0,0,0,8.05,0.0,7
113,0.0,3,1,20.0,1,0,9.825,0.0,7
114,0.0,3,1,17.0,0,0,14.4583,1.0,7
115,0.0,3,0,21.0,0,0,7.925,0.0,7
116,0.0,3,0,70.5,0,0,7.75,2.0,7
117,0.0,2,0,29.0,1,0,21.0,0.0,7
118,0.0,1,0,24.0,0,1,247.5208,1.0,1
119,0.0,3,1,2.0,4,2,31.275,0.0,7
120,0.0,2,0,21.0,2,0,73.5,0.0,7
121,0.0,3,0,25.0,0,0,8.05,0.0,7
122,0.0,2,0,32.5,1,0,30.0708,1.0,7
123,1.0,2,1,32.5,0,0,13.0,0.0,4
124,0.0,1,0,54.0,0,1,77.2875,0.0,3
125,1.0,3,0,12.0,1,0,11.2417,1.0,7
126,0.0,3,0,25.0,0,0,7.75,2.0,7
127,1.0,3,0,24.0,0,0,7.1417,0.0,7
128,1.0,3,1,16.0,1,1,22.3583,1.0,5
129,0.0,3,0,45.0,0,0,6.975,0.0,7
130,0.0,3,0,33.0,0,0,7.8958,1.0,7
131,0.0,3,0,20.0,0,0,7.05,0.0,7
132,0.0,3,1,47.0,1,0,14.5,0.0,7
133,1.0,2,1,29.0,1,0,26.0,0.0,7
134,0.0,2,0,25.0,0,0,13.0,0.0,7
135,0.0,2,0,23.0,0,0,15.0458,1.0,7
136,1.0,1,1,19.0,0,2,26.2833,0.0,3
137,0.0,1,0,37.0,1,0,53.1,0.0,2
