,means,stds,params,Model,Recall,F1_Score,Iteration,AUC
0,0.8058135663753639,0.0436039907880785,"{'C': 0.1, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}",Logistic_Regression,0.6812865497076024,0.7304075235109718,1,0.7832662256734733
1,0.7493508114856431,0.034312711970657,"{'leaf_size': 26, 'n_neighbors': 11, 'p': 1}",KNeighbors,0.6666666666666666,0.7069767441860464,1,0.7650273224043714
2,0.7781356637536414,0.0332521362693584,{'var_smoothing': 4.71486636345739e-06},GaussianNB,0.6871345029239766,0.7110438729198185,1,0.7670645192215512
3,0.670120682480233,0.1099701047243353,"{'early_stopping': False, 'eta0': 0.1, 'max_iter': 100, 'penalty': 'l2'}",Perceptron,0.8713450292397661,0.6874279123414071,1,0.7289329882082255
4,0.7961007074490218,0.0401245627581945,"{'C': 0.1, 'max_iter': 10000, 'penalty': 'l2'}",LinearSVC,0.6871345029239766,0.7253086419753088,1,0.7789042277825711
5,0.7785060341240116,0.0519573650468122,"{'alpha': 0.01, 'learning_rate': 'optimal', 'loss': 'log', 'penalty': 'l1'}",SGDClassifier,0.7923976608187134,0.6826196473551638,1,0.7313536573674623
6,0.8193091968372868,0.0406947133388105,"{'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 10, 'splitter': 'best'}",DecisionTreeClassifier,0.8245614035087719,0.858447488584475,1,0.8822260569456428
7,0.8320016645859343,0.0383137685183779,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000}",RandomForestClassifier,0.8947368421052632,0.9400921658986175,1,0.9446361806154732
8,0.8406117353308364,0.0341536793883459,"{'colsample_bytree': 0.6, 'gamma': 1, 'learning_rate': 0.01, 'max_depth': 9, 'min_child_weight': 5, 'n_estimators': 2000, 'subsample': 1.0, 'use_label_encoder': False}",XGBClassifier,0.8128654970760234,0.8540706605222734,1,0.8781995973540409
9,0.8080565959217644,0.04125708307299232,"{'C': 0.01, 'class_weight': None, 'penalty': 'l2', 'solver': 'sag'}",Logistic_Regression,0.6783625730994152,0.7341772151898733,2,0.7863579714313105
10,0.8237744486059093,0.04058875740808977,"{'C': 1.0, 'gamma': 0.1, 'kernel': 'rbf'}",SVC,0.7076023391812866,0.7707006369426751,2,0.8137283098456525
11,0.7781356637536414,0.03604040555071574,{'var_smoothing': 0.12067926406393285},GaussianNB,0.6812865497076024,0.7125382262996942,2,0.7686942766752949
12,0.7380774032459425,0.08450931844263974,"{'early_stopping': False, 'eta0': 0.1, 'max_iter': 100, 'penalty': 'l1'}",Perceptron,0.5263157894736842,0.5806451612903226,2,0.6739047071229987
13,0.7975946733250104,0.03910925877615308,"{'C': 10, 'max_iter': 1000, 'penalty': 'l2'}",LinearSVC,0.6988304093567251,0.7275494672754947,2,0.7801984469370146
14,0.8080607573865998,0.03505419506988504,"{'alpha': 1, 'learning_rate': 'optimal', 'loss': 'squared_loss', 'penalty': 'l2'}",SGDClassifier,0.6198830409356725,0.7210884353741497,2,0.7789761288467069
15,0.8219142738243862,0.03747004383064788,"{'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 10, 'splitter': 'best'}",DecisionTreeClassifier,0.8245614035087719,0.858447488584475,2,0.8822260569456428
16,0.8361131918435288,0.03242025123072234,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 100}",RandomForestClassifier,0.8859649122807017,0.9337442218798152,2,0.9393394688908061
18,0.8398668331252601,0.03470500499725047,"{'colsample_bytree': 1.0, 'gamma': 1, 'learning_rate': 0.01, 'max_depth': 9, 'min_child_weight': 3, 'n_estimators': 2000, 'subsample': 1.0, 'use_label_encoder': False}",XGBClassifier,0.8216374269005848,0.8672839506172838,2,0.8880500431406385
