,Survived,Sex,Pclass_1,Pclass_2,Pclass_3,Embarked_0.0,Embarked_1.0,Embarked_2.0,Cabin_Letter_0,Cabin_Letter_1,Cabin_Letter_2,Cabin_Letter_3,Cabin_Letter_4,Cabin_Letter_5,Cabin_Letter_6,Cabin_Letter_7,Alone,Age,SibSp,Parch,Fare,Family_size
0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,-0.5416129102021049,0.481287771858981,-0.444999501816175,-0.5031762030204289,0.07335229062787217
1,1.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.6614135270424127,0.481287771858981,-0.444999501816175,0.7348086421751847,0.07335229062787217
2,1.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,-0.24085630089097548,-0.47908676070718687,-0.444999501816175,-0.4901261217266795,-0.5583460543187373
3,1.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.43584607005906567,0.481287771858981,-0.444999501816175,0.38326265226609996,0.07335229062787217
4,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0.43584607005906567,-0.47908676070718687,-0.444999501816175,-0.48770944000561484,-0.5583460543187373
5,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,-0.3160454532187578,-0.47908676070718687,-0.444999501816175,-0.47981559083192915,-0.5583460543187373
6,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1.8644399642869303,-0.47908676070718687,-0.444999501816175,0.3593375032275594,-0.5583460543187373
7,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,-2.0453959567577518,2.4020368369913165,0.7107630931786129,-0.23589120467067404,1.9684473254677004
8,1.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,-0.16566714856319312,-0.47908676070718687,1.8665256881734007,-0.4280986020011448,0.7050506355744817
9,1.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,-1.1431261288243637,0.481287771858981,-0.444999501816175,-0.061971321259844045,0.07335229062787217
10,1.0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,-1.895017652102187,0.481287771858981,0.7107630931786129,-0.32047506490793826,0.7050506355744817
11,1.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2.1651965735980596,-0.47908676070718687,-0.444999501816175,-0.13004054528804052,-0.5583460543187373
12,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,-0.6919912148576696,-0.47908676070718687,-0.444999501816175,-0.48770944000561484,-0.5583460543187373
13,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0.7366026793701951,0.481287771858981,5.333813473157765,-0.03868997623179524,3.2318440153609194
14,0.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,-1.1431261288243637,-0.47908676070718687,-0.444999501816175,-0.4914949302534906,-0.5583460543187373
15,1.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1.9396291166147126,-0.47908676070718687,-0.444999501816175,-0.3340084825459005,-0.5583460543187373
16,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,-2.0453959567577518,3.3624113695574844,0.7107630931786129,-0.0802569018341079,2.6001456704143098
17,1.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0.059900308420153925,-0.47908676070718687,-0.444999501816175,-0.39200884385145307,-0.5583460543187373
18,0.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0.13508946074793626,0.481287771858981,-0.444999501816175,-0.29534157500886543,0.07335229062787217
19,1.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,-0.3160454532187578,-0.47908676070718687,-0.444999501816175,-0.5036595393646418,-0.5583460543187373
20,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0.43584607005906567,-0.47908676070718687,-0.444999501816175,-0.14067394486072518,-0.5583460543187373
21,1.0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0.36065691773128333,-0.47908676070718687,-0.444999501816175,-0.39200884385145307,-0.5583460543187373
22,1.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,-1.0679369764965814,-0.47908676070718687,-0.444999501816175,-0.48811157584400006,-0.5583460543187373
23,1.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,-0.09047799623541078,-0.47908676070718687,-0.444999501816175,0.04299386594019136,-0.5583460543187373
24,0.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,-1.5942610427910577,2.4020368369913165,0.7107630931786129,-0.23589120467067404,1.9684473254677004
